id,Name,Team,Position,Height
3359,L. Cuccittini,Barcelona,FW,170
3346,S. Burgos,Barcelona,MD,189
286390,O. Dembele,Barcelona,FW,178
25397,S. Umtiti,Barcelona,DF,182
7972,L. Diaz,Barcelona,FW,182
3341,G. Bernabeu,Barcelona,DF,194
3269,J. Ramos,Barcelona,DF,170
211885,A. Gomes,Barcelona,MD,188
3291,F. Garcia,Barcelona,FW,175
3802,P. Correia,Barcelona,FW,171
33,J. Cillessen,Barcelona,GK,185
15008,M. Stegen,Barcelona,GK,187
7860,T. Vermaelen,Barcelona,DF,183
282442,C. Castillo,Barcelona,MD,180
89559,C. Sandoval,Bayer Leverkusen,MD,171
14803,S. Bender,Bayer Leverkusen,DF,186
14786,K. Bellarabi,Bayer Leverkusen,MD,183
425925,K. Havertz,Bayer Leverkusen,MD,186
14781,L. Bender,Bayer Leverkusen,MD,185
35477,J. Pohjanpalo,Bayer Leverkusen,FW,185
146583,J. Brandt,Bayer Leverkusen,MD,183
258253,B. Henrichs,Bayer Leverkusen,DF,183
228768,J. Tah,Bayer Leverkusen,DF,194
388267,L. Butler,Bayer Leverkusen,FW,180
15231,K. Volland,Bayer Leverkusen,FW,179
40657,W. Borges,Bayer Leverkusen,DF,176
165425,D. Kohr,Bayer Leverkusen,MD,183
15188,J. Baumgartlinger,Bayer Leverkusen,MD,183
212604,T. Jedvaj,Bayer Leverkusen,DF,184
14768,B. Leno,Bayer Leverkusen,GK,190
51262,I. Thelin,Bayer Leverkusen,FW,189
344178,P. Retsos,Bayer Leverkusen,DF,186
49859,A. Dragovic,Bayer Leverkusen,DF,184
16411,R. Ozcan,Bayer Leverkusen,GK,187
86489,L. Alario,Bayer Leverkusen,FW,178
18938,N. Lomb,Bayer Leverkusen,GK,187
20475,A. Pardo,Bayern Munchen,MD,180
14712,M. Neuer,Bayern Munchen,GK,193
14724,D. Alaba,Bayern Munchen,DF,180
14718,M. Souza,Bayern Munchen,DF,172
258162,R. Sanches,Bayern Munchen,MD,176
224593,J. Kimmich,Bayern Munchen,DF,176
14716,J. Boateng,Bayern Munchen,DF,192
14726,F. Ribery,Bayern Munchen,MD,170
15085,S. Wagner,Bayern Munchen,FW,194
14795,M. Hummels,Bayern Munchen,DF,191
14727,A. Robben,Bayern Munchen,MD,180
14817,R. Lewandowski,Bayern Munchen,FW,185
134387,L. Goretzka,Bayern Munchen,MD,189
14736,S. Ulreich,Bayern Munchen,GK,192
3416,J. Aginaga,Bayern Munchen,MD,190
3281,J. Velasco,Bayern Munchen,DF,170
396887,C. Fruchtl,Bayern Munchen,GK,193
231139,K. Coman,Bayern Munchen,FW,178
134383,N. Sule,Bayern Munchen,DF,195
14732,T. Muller,Bayern Munchen,FW,186
3345,T. Nascimento,Bayern Munchen,MD,174
209091,C. Tolisso,Bayern Munchen,MD,181
223546,K. Wriedt,Bayern Munchen,FW,188
15811,S. Rudy,Bayern Munchen,MD,180
70096,J. Rubio,Bayern Munchen,MD,180
7858,B. Sagna,Benevento,DF,176
20609,A. Costa,Benevento,DF,182
20632,C. Puggioni,Benevento,GK,187
24269,M. Coda,Benevento,FW,184
385655,J. Billong,Benevento,DF,192
402017,B. Gyamfi,Benevento,DF,180
21678,L. Pinto,Benevento,MD,180
24838,G. Letizia,Benevento,DF,173
21872,L. Antei,Benevento,DF,188
22135,P. Iemmello,Benevento,FW,179
22323,L. Memushaj,Benevento,MD,175
85113,A. Tosca,Benevento,DF,181
25601,C. Diabate,Benevento,FW,194
8291,S. Cordeiro,Benevento,MD,187
174,F. Duricic,Benevento,MD,181
218971,A. Lazaar,Benevento,DF,184
454457,E. Brignola,Benevento,FW,180
70834,G. Marques,Benevento,MD,170
564512,S. Sanogo,Benevento,FW,0
22614,F. Lucioni,Benevento,DF,185
284960,L. Venuti,Benevento,DF,176
360778,L. Sparandeo,Benevento,DF,0
256478,D. Cataldi,Benevento,MD,180
22695,B. Viola,Benevento,MD,180
21415,A. Brignoli,Benevento,GK,188
21322,M. D'Alessandro,Benevento,FW,173
461671,G. Volpicelli,Benevento,MD,175
50007,B. Djimsiti,Benevento,DF,190
239295,V. Parigini,Benevento,FW,180
255670,C. Lombardi,Benevento,FW,179
21578,G. Chiara,Benevento,DF,184
299557,A. Nagy,Bologna,MD,178
21373,S. Romagnoli,Bologna,DF,193
149848,F. Dovillabichus,Bologna,FW,196
259292,F. Francesco,Bologna,FW,178
415687,J. Aponza,Bologna,MD,185
125286,G. Castro,Bologna,DF,186
361779,C. Keita,Bologna,DF,182
149846,C. Santos,Bologna,MD,170
90268,E. Farfan,Bologna,MD,186
21123,S. Verdi,Bologna,FW,171
373768,R. Orsolini,Bologna,FW,183
232822,A. Masina,Bologna,DF,191
20483,A. Mirante,Bologna,GK,193
92908,V. Torosidis,Bologna,DF,186
21169,B. Dzemaili,Bologna,MD,179
21296,R. Palacio,Bologna,FW,176
20526,L. Crisetig,Bologna,MD,183
190168,A. Santurro,Bologna,GK,192
20529,A. Poli,Bologna,MD,182
82266,L. Krejci,Bologna,FW,180
20707,S. Maio,Bologna,DF,190
20796,M. Destro,Bologna,FW,178
50805,F. Helander,Bologna,DF,192
295273,G. Donsah,Bologna,MD,175
403272,O. Okwonkwo,Bologna,FW,178
20604,A. Junior,Bologna,GK,186
22377,I. M'baye,Bologna,DF,188
480145,A. Tchouameni,Bordeaux,MD,185
99633,I. Lewczuk,Bordeaux,DF,189
26945,M. Poundje,Bordeaux,DF,180
295569,O. Santos,Bordeaux,MD,176
229078,J. Prior,Bordeaux,GK,187
499295,T. Carrique,Bordeaux,DF,170
393230,O. Mandanda,Bordeaux,GK,176
14717,D. Contento,Bordeaux,DF,177
276920,V. Vada,Bordeaux,MD,175
25923,N. Preville,Bordeaux,FW,182
274970,A. Mendy,Bordeaux,FW,185
27958,T. Pellenard,Bordeaux,DF,184
334552,F. Kamano,Bordeaux,FW,175
237267,M. Gajic,Bordeaux,DF,178
48318,J. Barbosa,Bordeaux,FW,173
404214,G. Poussin,Bordeaux,GK,184
28529,Y. Sabaly,Bordeaux,DF,173
410062,J. Kounde,Bordeaux,DF,178
26332,P. Baysse,Bordeaux,DF,185
25596,J. Plasil,Bordeaux,MD,184
482491,Z. Youssouf,Bordeaux,MD,178
404227,E. Taha,Bordeaux,FW,180
56441,L. Lerager,Bordeaux,MD,185
300485,M. Oliveira,Bordeaux,FW,171
26389,Y. Sankhare,Bordeaux,MD,184
41127,P. Castro,Bordeaux,DF,188
25632,B. Costil,Bordeaux,GK,187
25504,S. Meite,Bordeaux,MD,187
272373,D. Reimann,Borussia Dortmund,GK,186
19392,M. Philipp,Borussia Dortmund,FW,183
