245364,L Sane,Manchester City,MD,27 (5),0.02,0.1,0.27,0.39
245813,L Mousset,AFC Bournemouth,FW,4 (17),0.05,-0.02,0.14,0.17
246866,A Mawson,Unknown,DF,38 (0),0.04,0.01,0.02,0.07
247248,S March,Brighton & Hove Albion,MD,18 (17),0.01,0.01,0.01,0.03
252365,D Yedlin,Newcastle United,DF,31 (3),0.02,0.04,-0.0,0.05
25381,H Lloris,Tottenham Hotspur,GK,36 (0),-0.02,-0.02,0.0,-0.04
25393,D Lovren,Liverpool,DF,24 (4),0.07,0.05,-0.0,0.12
25413,A Lacazette,Arsenal,FW,26 (6),0.02,0.03,0.2,0.25
25415,J Pied,Lille,DF,2 (0),0.04,0.17,-0.01,0.21
25430,M Sakho,Crystal Palace,DF,18 (1),0.01,0.02,0.04,0.07
254898,R Nascimento,Newcastle United,MD,13 (0),0.01,0.06,0.09,0.16
25537,G Krychowiak,Unknown,MD,19 (8),0.01,0.03,-0.03,0.01
25553,C Tanco,Chelsea,DF,37 (0),0.03,0.1,0.04,0.17
25571,J Ayew,Crystal Palace,FW,33 (3),0.08,0.03,0.08,0.19
25572,A Pele,Unknown,FW,19 (11),0.11,0.03,0.05,0.19
255935,I Brown,Unknown,FW,4 (9),0.05,0.08,-0.02,0.1
25604,H Saivet,Unknown,MD,1 (0),0.09,-0.03,0.0,0.06
25662,D Ramirez,Napoli,GK,4 (1),0.01,0.04,0.0,0.05
256998,E Bailly,Manchester United,DF,11 (0),0.01,-0.03,0.14,0.12
25703,P Souare,Crystal Palace,DF,0 (1),0.0,0.01,0.0,0.01
25706,I Gueye,Everton,MD,32 (1),0.01,-0.0,0.04,0.05
25707,E Hazard,Chelsea,FW,28 (6),0.0,0.2,0.24,0.44
25747,S Mane,Liverpool,FW,28 (1),0.02,0.08,0.15,0.25
257762,D Mina,Tottenham Hotspur,DF,29 (2),0.03,0.03,-0.03,0.03
25785,S Aurier,Tottenham Hotspur,DF,16 (1),0.01,0.08,0.11,0.2
257899,J Gomez,Liverpool,DF,21 (2),-0.0,0.04,-0.01,0.03
25798,E Capoue,Watford,MD,18 (5),0.01,0.05,0.04,0.1
25804,M Sissoko,Tottenham Hotspur,MD,15 (18),0.01,0.06,-0.04,0.02
258162,R Sanches,Bayern Munchen,MD,9 (3),0.01,-0.04,-0.02,-0.05
25854,K Zouma,Everton,DF,32 (1),0.07,0.0,-0.01,0.06
25865,B Sako,West Bromwich Albion,MD,4 (12),0.02,-0.0,0.32,0.34
25867,P Aubameyang,Arsenal,FW,12 (1),0.02,0.04,0.4,0.46
25885,M Wague,Udinese,DF,5 (1),0.01,0.02,0.21,0.24
25950,A Knockaert,Brighton & Hove Albion,MD,27 (6),0.02,0.04,0.02,0.08
259531,E Hyndman,Unknown,MD,1 (0),-0.06,0.06,0.0,-0.0
26010,O Giroud,Chelsea,FW,7 (22),0.13,-0.07,0.1,0.16
261,N Chadli,West Bromwich Albion,MD,2 (3),0.03,-0.01,-0.03,-0.0
26109,M Haidara,Unknown,DF,0 (1),0.0,0.02,0.0,0.02
26136,B Mendy,Manchester City,DF,4 (3),0.01,0.13,-0.03,0.11
26150,R Mahrez,Manchester City,MD,34 (2),0.01,0.13,0.22,0.36
262,L Fer,Swansea City,MD,15 (5),0.04,0.01,0.02,0.07
26495,G Songo,Brighton & Hove Albion,DF,25 (0),0.01,-0.03,-0.0,-0.02
26499,A Masuaku,West Ham United,DF,21 (5),-0.0,0.07,-0.01,0.06
265318,E Fernandes,Fiorentina,MD,9 (5),0.01,0.02,-0.03,0.0
265366,O Ndidi,Leicester City,MD,33 (0),0.08,-0.01,-0.04,0.02
265673,B Silva,Manchester City,MD,15 (20),0.01,0.04,0.2,0.26
26610,D Sakho,Rennes,FW,0 (13),0.07,0.03,0.12,0.22
268776,W Hoedt,Southampton,DF,28 (0),0.08,0.0,-0.04,0.04
270828,G Mbida,Tottenham Hotspur,FW,2 (6),0.01,-0.01,-0.04,-0.04
274488,J Lolley,Unknown,MD,2 (3),0.01,0.08,0.31,0.4
277002,F Diabate,Leicester City,FW,5 (9),-0.0,0.02,-0.06,-0.04
279709,K Palmer,Unknown,MD,1 (3),0.02,-0.02,-0.02,-0.02
279717,A Maitland-Niles,Arsenal,MD,8 (6),0.02,0.14,-0.02,0.14
280157,J Hugill,Unknown,FW,0 (2),0.02,-0.01,0.0,0.0
281135,M Targett,Southampton,DF,2 (0),0.03,-0.01,0.0,0.02
282550,F Hadergjonaj,Huddersfield Town,DF,19 (4),0.0,0.07,-0.0,0.07
28291,T Bakayoko,Milan,MD,24 (4),0.06,-0.01,-0.02,0.03
28292,A Doucoure,Watford,MD,37 (0),0.03,0.08,0.11,0.22
283142,D Gray,Leicester City,MD,17 (18),0.01,0.09,0.07,0.17
284,M Hoorn,Swansea City,DF,24 (0),0.03,-0.02,-0.03,-0.02
284476,N Vlasic,Unknown,MD,7 (5),0.02,-0.02,-0.01,-0.01
285508,K Iheanacho,Leicester City,FW,7 (14),-0.01,0.14,0.07,0.21
286825,J Kenny,Everton,DF,17 (2),0.01,0.04,-0.0,0.05
286831,D Solanke,Liverpool,FW,5 (13),0.04,0.03,-0.19,-0.12
288865,O McBurnie,Swansea City,FW,2 (9),0.06,0.07,-0.02,0.11
291528,D Lukebakio,Unknown,MD,0 (1),0.0,0.16,-0.09,0.07
293686,J Murphy,Newcastle United,MD,13 (12),0.0,0.01,-0.0,0.01
293687,D Calvert-Lewin,Everton,FW,18 (14),0.11,0.04,0.02,0.17
29640,M Lemina,Southampton,MD,20 (5),0.02,0.05,0.01,0.08
297258,S Kaikai,Crystal Palace,MD,0 (1),0.0,-0.07,0.0,-0.07
297733,S McQueen,Unknown,MD,1 (5),0.02,-0.01,0.0,0.01
302518,L Cook,AFC Bournemouth,MD,25 (3),0.01,0.04,-0.02,0.03
302520,J Sims,Unknown,MD,1 (4),0.03,0.07,-0.17,-0.07
303357,P Billing,Huddersfield Town,MD,8 (8),0.02,-0.01,-0.0,0.0
31528,N Kante,Chelsea,MD,34 (0),0.02,0.07,0.0,0.1
32636,C Tosun,Everton,FW,12 (2),0.05,0.02,0.21,0.28
3278,B Grau,Brighton & Hove Albion,DF,23 (2),-0.0,-0.0,-0.0,-0.01
32968,N Amrabat,Unknown,FW,3 (0),-0.05,-0.05,-0.02,-0.12
3319,M Ozil,Arsenal,MD,24 (2),-0.0,0.21,0.06,0.27
